T,current_km,best_km
7850.46335768,9432140.26917,9250803.96232
7837.7283081,9481646.30422,9250803.96232
7825.01391735,9526869.00687,9250803.96232
7812.32015194,9513103.43104,9250803.96232
7799.64697839,9586533.99463,9250803.96232
7786.99436332,9484038.32585,9250803.96232
7774.36227336,9652333.36906,9250803.96232
7761.75067522,9694548.54346,9250803.96232
7749.15953566,9661341.27169,9250803.96232
7736.5888215,9541862.25719,9250803.96232
7724.03849959,9648897.14512,9250803.96232
7711.50853686,9617610.23657,9250803.96232
7698.99890027,9452808.41859,9250803.96232
7686.50955687,9408852.49642,9250803.96232
7674.04047372,9492198.25873,9250803.96232
7661.59161796,9385220.92547,9250803.96232
7649.16295678,9455126.74819,9250803.96232
7636.75445742,9415300.1798,9250803.96232
7624.36608717,9329808.00644,9250803.96232
7611.99781338,9275491.78455,9160180.53683
7599.64960345,9375353.49292,9160180.53683
7587.32142483,9483864.51981,9160180.53683
7575.01324502,9304990.22985,9160180.53683
7562.72503159,9275759.62036,9160180.53683
7550.45675213,9393974.64436,9160180.53683
7538.20837433,9324417.53943,9160180.53683
7525.97986589,9351018.51923,9160180.53683
7513.77119458,9360989.34097,9160180.53683
7501.58232821,9387509.80979,9160180.53683
7489.41323467,9546239.77752,9160180.53683
7477.26388188,9450262.89203,9160180.53683
7465.13423781,9464282.14515,9160180.53683
7453.02427049,9441066.41959,9160180.53683
7440.93394801,9687199.67966,9160180.53683
7428.86323848,9584870.02806,9160180.53683
7416.81211011,9313546.22624,9160180.53683
7404.78053112,9363076.87619,9160180.53683
7392.7684698,9526395.43633,9160180.53683
7380.77589449,9436880.2336,9160180.53683
7368.80277357,9535597.73017,9160180.53683
7356.8490755,9598333.2533,9160180.53683
7344.91476876,9307537.20375,9160180.53683
7332.99982189,9415732.353,9160180.53683
7321.10420349,9547983.92365,9160180.53683
7309.22788221,9540476.43783,9160180.53683
7297.37082673,9335371.48596,9160180.53683
7285.53300582,9526095.41155,9160180.53683
7273.71438826,9388231.31448,9160180.53683
7261.9149429,9447103.21869,9160180.53683
7250.13463865,9052657.47932,9040788.50895
7238.37344444,9464918.3518,9040788.50895
7226.63132929,9426681.60923,9040788.50895
7214.90826224,9564646.89812,9040788.50895
7203.20421239,9524260.88795,9040788.50895
7191.51914889,9476452.27128,9040788.50895
7179.85304094,9303606.295,9040788.50895
7168.2058578,9247028.51584,9040788.50895
7156.57756875,9344606.05065,9040788.50895
7144.96814316,9438160.12972,9040788.50895
7133.37755042,9330596.02525,9040788.50895
7121.80575998,9328884.2887,9040788.50895
7110.25274134,9212423.25614,9040788.50895
7098.71846405,9270325.17799,9040788.50895
7087.2028977,9220112.12902,9040788.50895
7075.70601195,9303201.51787,9040788.50895
7064.22777648,9169567.19236,9040788.50895
7052.76816105,9277112.50493,9040788.50895
7041.32713545,9274324.0361,9040788.50895
7029.90466952,9199499.36517,9040788.50895
7018.50073316,9157982.44376,9040788.50895
7007.1152963,9511636.21768,9040788.50895
6995.74832894,9559745.20957,9040788.50895
6984.39980111,9501224.1107,9040788.50895
6973.06968291,9527986.29617,9040788.50895
6961.75794446,9320245.70919,9040788.50895
6950.46455596,9325085.23584,9040788.50895
6939.18948763,9170715.58574,9040788.50895
6927.93270976,9285772.62235,9040788.50895
6916.69419267,9040921.68569,9023375.17305
6905.47390674,9243429.60342,9008900.83967
6894.2718224,9183702.48574,9008900.83967
6883.08791013,9157650.89025,8990491.74962
6871.92214043,9249377.28874,8990491.74962
6860.77448389,8977921.74494,8961172.73934
6849.64491111,9054208.1831,8933733.25389
6838.53339277,9020719.23012,8921681.57191
6827.43989957,9056535.11053,8921681.57191
6816.36440228,9194504.83076,8921681.57191
6805.3068717,9409245.41587,8921681.57191
6794.26727868,9226730.02352,8921681.57191
6783.24559413,9297463.60654,8921681.57191
6772.24178899,9270649.21496,8921681.57191
6761.25583427,9150849.73444,8921681.57191
6750.287701,9023138.28825,8921681.57191
6739.33736028,8885246.13806,8859847.68216
6728.40478324,8908392.3234,8808408.16409
6717.48994106,8848396.22097,8808408.16409
6706.59280498,9066033.92774,8805870.48225
6695.71334628,9177006.86718,8805870.48225
6684.85153627,8986858.23126,8805870.48225
6674.00734632,8902807.9362,8805870.48225
6663.18074786,8963489.3558,8805870.48225
6652.37171235,9108988.6119,8805870.48225
6641.58021129,9166823.7145,8805870.48225
6630.80621624,9005257.04832,8805870.48225
6620.04969881,9173301.71546,8805870.48225
6609.31063064,9113558.39146,8805870.48225
6598.58898342,9018737.45516,8805870.48225
6587.8847289,9280608.96308,8805870.48225
6577.19783885,9233083.53949,8805870.48225
6566.52828512,8981903.13679,8805870.48225
6555.87603957,9246695.39964,8805870.48225
6545.24107414,9537413.16273,8805870.48225
6534.62336079,9158039.59581,8805870.48225
6524.02287152,8797096.13717,8752962.22066
6513.43957841,8927004.46501,8752962.22066
6502.87345355,9138359.2506,8752962.22066
6492.3244691,9113596.17405,8752962.22066
6481.79259725,9123474.11069,8752962.22066
6471.27781024,9133124.58719,8752962.22066
6460.78008036,9192488.55194,8752962.22066
6450.29937993,9082031.09201,8752962.22066
6439.83568133,9206830.2968,8752962.22066
6429.38895697,9244171.18143,8752962.22066
6418.95917933,9104407.84833,8752962.22066
6408.54632092,9065072.66567,8752962.22066
6398.15035428,8957866.27582,8752962.22066
6387.77125201,8946163.23984,8752962.22066
6377.40898676,8935879.33015,8752962.22066
6367.06353122,8898712.18499,8752962.22066
6356.7348581,8686769.25921,8615715.85815
6346.4229402,8827794.89619,8615715.85815
6336.12775033,8977817.91087,8615715.85815
