T,current_km,best_km
2905.01129009,274864.890216,238963.973501
2902.10773009,289967.621585,238963.973501
2899.20707221,291268.006571,238963.973501
2896.30931353,283679.245839,238963.973501
2893.41445117,284579.144846,238963.973501
2890.52248222,295034.382636,238963.973501
2887.63340379,290564.886493,238963.973501
2884.74721301,273276.444701,238963.973501
2881.86390697,268962.002469,238963.973501
2878.98348279,266541.525971,238963.973501
2876.1059376,269837.723711,238963.973501
2873.23126852,268080.804682,238963.973501
2870.35947267,271492.771223,238963.973501
2867.49054718,247706.831154,238963.973501
2864.62448919,285147.702163,238963.973501
2861.76129582,271988.805673,238963.973501
2858.90096421,287788.394403,238963.973501
2856.04349151,289097.990694,238963.973501
2853.18887485,249889.11427,238963.973501
2850.33711138,295931.137337,238963.973501
2847.48819825,287291.499211,238963.973501
2844.64213261,274305.839427,238963.973501
2841.79891162,296935.039712,238963.973501
2838.95853242,288131.822094,238963.973501
2836.12099219,293304.688521,238963.973501
2833.28628807,279070.660733,238963.973501
2830.45441725,293831.369985,238963.973501
2827.62537688,263341.403304,238963.973501
2824.79916414,280275.961411,238963.973501
2821.9757762,281975.252373,238963.973501
2819.15521024,270257.888003,238963.973501
2816.33746343,282911.810274,238963.973501
2813.52253296,287287.85707,238963.973501
2810.71041602,275817.351568,238963.973501
2807.90110979,273067.695323,238963.973501
2805.09461146,270766.46977,238963.973501
2802.29091823,268926.292856,238963.973501
2799.49002729,279470.473411,238963.973501
2796.69193584,272308.630318,238963.973501
2793.89664109,294196.467461,238963.973501
2791.10414023,278016.979036,238963.973501
2788.31443048,287010.190869,238963.973501
2785.52750905,286646.824613,238963.973501
2782.74337314,279667.595904,238963.973501
2779.96201998,281401.082807,238963.973501
2777.18344679,277244.297289,237352.621067
2774.40765077,266887.420211,237352.621067
2771.63462917,289546.186729,237352.621067
2768.86437921,276008.517089,237352.621067
2766.09689811,266663.299042,237352.621067
2763.33218311,262127.402889,237352.621067
2760.57023144,283602.549842,237352.621067
2757.81104034,258530.908138,237352.621067
2755.05460706,268797.250062,237352.621067
2752.30092883,273802.222957,237352.621067
2749.55000291,269277.646882,237352.621067
2746.80182654,264261.327354,237352.621067
2744.05639697,293362.911805,237352.621067
2741.31371146,281364.885934,237352.621067
2738.57376726,247495.741951,237352.621067
2735.83656164,287209.480499,237352.621067
2733.10209186,256900.051116,237352.621067
2730.37035518,285821.917592,237352.621067
2727.64134887,270382.444739,237352.621067
2724.91507021,293810.609292,237352.621067
2722.19151646,281086.677839,237352.621067
2719.47068491,273258.093504,237352.621067
2716.75257283,282194.013603,237352.621067
2714.0371775,290268.463837,237352.621067
2711.32449621,249792.663006,237352.621067
2708.61452625,281499.192593,237352.621067
2705.9072649,267182.873485,237352.621067
2703.20270946,279820.888128,237352.621067
2700.50085723,276152.406226,237352.621067
2697.8017055,258826.597451,237352.621067
2695.10525157,291734.427538,237352.621067
2692.41149275,272955.136878,237352.621067
2689.72042634,254508.489428,237352.621067
2687.03204966,285929.707125,237352.621067
2684.34636,267644.534334,237352.621067
2681.6633547,256683.961705,237352.621067
2678.98303106,269454.599121,237352.621067
2676.30538641,282033.570304,237352.621067
2673.63041806,281123.111237,237352.621067
2670.95812334,288668.027235,237352.621067
2668.28849959,294687.475041,237352.621067
2665.62154412,264375.825352,237352.621067
2662.95725428,266498.619695,237352.621067
2660.29562739,271997.849147,237352.621067
2657.63666081,285973.754549,237352.621067
2654.98035186,274341.381994,237352.621067
2652.32669789,275582.816224,237352.621067
2649.67569625,262312.701941,237352.621067
2647.02734429,274388.064273,237352.621067
2644.38163936,279611.357824,237352.621067
2641.73857881,265651.404099,237352.621067
2639.09816,276189.346922,237352.621067
2636.46038029,256426.590569,237352.621067
2633.82523704,269690.178073,236675.992436
2631.19272762,279695.624833,231965.362822
2628.56284939,274709.279956,231965.362822
2625.93559973,276901.60206,231965.362822
2623.31097601,250707.517459,231965.362822
2620.68897559,278152.907797,231965.362822
2618.06959587,259117.811925,231965.362822
2615.45283422,277149.818069,231965.362822
2612.83868802,261516.374218,231965.362822
2610.22715467,234831.010054,231965.362822
2607.61823154,263715.473434,231965.362822
2605.01191603,300886.464623,231965.362822
2602.40820554,291825.799713,231965.362822
2599.80709745,288703.972727,231965.362822
2597.20858918,278922.965746,231965.362822
2594.61267811,296842.398081,231965.362822
2592.01936166,279514.777421,231965.362822
2589.42863723,253995.376008,231965.362822
2586.84050223,285619.769888,231965.362822
2584.25495407,298500.424652,231965.362822
2581.67199017,276308.630237,231965.362822
2579.09160794,260032.958277,231965.362822
2576.5138048,273315.749386,231965.362822
2573.93857818,254485.227496,229479.979119
2571.3659255,268330.465196,229479.979119
2568.79584419,283577.968485,229479.979119
2566.22833167,250015.781171,229479.979119
2563.66338539,276305.272702,229479.979119
2561.10100276,293843.230898,229479.979119
2558.54118125,270666.538183,229479.979119
2555.98391827,280231.529852,229479.979119
2553.42921128,273003.400866,229479.979119
2550.87705772,273991.095844,229479.979119
2548.32745504,267445.855569,229479.979119
2545.78040069,272936.335823,229479.979119
2543.23589212,273322.970241,229479.979119
2540.69392678,277426.011982,229479.979119
2538.15450215,298927.843749,229479.979119
2535.61761567,277280.326522,229479.979119
2533.0832648,263254.252862,229479.979119
2530.55144703,262919.749017,229479.979119
2528.0221598,270423.241935,229479.979119
2525.4954006,262622.628352,229479.979119
2522.9711669,285011.614883,229479.979119
2520.44945616,269167.235467,229479.979119
2517.93026588,266487.218214,229479.979119
2515.41359353,256751.490988,229479.979119
2512.8994366,283187.665412,229479.979119
2510.38779257,275071.86487,229479.979119
2507.87865892,289208.889274,229479.979119
2505.37203316,262411.430407,229479.979119
2502.86791277,262164.484987,229479.979119
2500.36629525,281219.593509,229479.979119
2497.8671781,271851.284067,229479.979119
2495.37055881,262292.169711,229479.979119
2492.8764349,285948.734947,229479.979119
2490.38480386,272162.209717,229479.979119
2487.89566322,267364.369656,229479.979119
